title,director,genre,ratings,keywords
Avatar,jamescameron,"['action', 'adventure', 'fantasy']",7.2,"['cultureclash', 'future', 'spacewar']"
Pirates of the Caribbean: At World's End,goreverbinski,"['adventure', 'fantasy', 'action']",6.9,"['ocean', 'drugabuse', 'exoticisland']"
Spectre,sammendes,"['action', 'adventure', 'crime']",6.3,"['spy', 'basedonnovel', 'secretagent']"
The Dark Knight Rises,christophernolan,"['action', 'crime', 'drama']",7.6,"['dccomics', 'crimefighter', 'terrorist']"
John Carter,andrewstanton,"['action', 'adventure', 'sciencefiction']",6.1,"['basedonnovel', 'mars', 'medallion']"
Spider-Man 3,samraimi,"['fantasy', 'action', 'adventure']",5.9,"['dualidentity', 'amnesia', 'sandstorm']"
Tangled,byronhoward,"['animation', 'family']",7.4,"['hostage', 'magic', 'horse']"
Avengers: Age of Ultron,josswhedon,"['action', 'adventure', 'sciencefiction']",7.3,"['marvelcomic', 'sequel', 'superhero']"
Harry Potter and the Half-Blood Prince,davidyates,"['adventure', 'fantasy', 'family']",7.4,"['witch', 'magic', 'broom']"
Batman v Superman: Dawn of Justice,zacksnyder,"['action', 'adventure', 'fantasy']",5.7,"['dccomics', 'vigilante', 'superhero']"
Superman Returns,bryansinger,"['adventure', 'fantasy', 'action']",5.4,"['savingtheworld', 'dccomics', 'invulnerability']"
Quantum of Solace,marcforster,"['adventure', 'action', 'thriller']",6.1,"['killing', 'undercover', 'secretagent']"
Pirates of the Caribbean: Dead Man's Chest,goreverbinski,"['adventure', 'fantasy', 'action']",7,"['witch', 'fortuneteller', 'bondage']"
The Lone Ranger,goreverbinski,"['action', 'adventure', 'western']",5.9,"['texas', 'horse', 'survivor']"
Man of Steel,zacksnyder,"['action', 'adventure', 'fantasy']",6.5,"['savingtheworld', 'dccomics', 'superhero']"
The Chronicles of Narnia: Prince Caspian,andrewadamson,"['adventure', 'family', 'fantasy']",6.3,"['basedonnovel', 'fictionalplace', 'brothersisterrelationship']"
The Avengers,josswhedon,"['sciencefiction', 'action', 'adventure']",7.4,"['newyork', 'shield', 'marvelcomic']"
Pirates of the Caribbean: On Stranger Tides,robmarshall,"['adventure', 'action', 'fantasy']",6.4,"['sea', 'captain', 'mutiny']"
Men in Black 3,barrysonnenfeld,"['action', 'comedy', 'sciencefiction']",6.2,"['timetravel', 'timemachine', 'alien']"
The Hobbit: The Battle of the Five Armies,peterjackson,"['action', 'adventure', 'fantasy']",7.1,"['corruption', 'elves', 'dwarves']"
The Amazing Spider-Man,marcwebb,"['action', 'adventure', 'fantasy']",6.5,"['lossoffather', 'vigilante', 'serum']"
Robin Hood,ridleyscott,"['action', 'adventure']",6.2,"['robinhood', 'archer', 'knight']"
The Hobbit: The Desolation of Smaug,peterjackson,"['adventure', 'fantasy']",7.6,"['elves', 'dwarves', 'orcs']"
The Golden Compass,chrisweitz,"['adventure', 'fantasy']",5.8,"['england', 'compass', 'experiment']"
King Kong,peterjackson,"['adventure', 'drama', 'action']",6.6,"['filmbusiness', 'screenplay', 'showbusiness']"
Titanic,jamescameron,"['drama', 'romance', 'thriller']",7.5,"['shipwreck', 'iceberg', 'ship']"
Captain America: Civil War,anthonyrusso,"['adventure', 'action', 'sciencefiction']",7.1,"['civilwar', 'war', 'marvelcomic']"
Battleship,peterberg,"['thriller', 'action', 'adventure']",5.5,"['fight', 'u.s.navy', 'mindreading']"
Jurassic World,,"['action', 'adventure', 'sciencefiction']",6.5,"['monster', 'dna', 'tyrannosaurusrex']"
Skyfall,sammendes,"['action', 'adventure', 'thriller']",6.9,"['spy', 'secretagent', 'sociopath']"
Spider-Man 2,samraimi,"['action', 'adventure', 'fantasy']",6.7,"['dualidentity', ""loveofone'slife"", 'pizzaboy']"
Iron Man 3,shaneblack,"['action', 'adventure', 'sciencefiction']",6.8,"['terrorist', 'waronterror', 'tennessee']"
Alice in Wonderland,timburton,"['family', 'fantasy', 'adventure']",6.4,"['basedonnovel', 'fictionalplace', 'queen']"
X-Men: The Last Stand,brettratner,"['adventure', 'action', 'sciencefiction']",6.3,"['mutant', 'marvelcomic', 'basedoncomicbook']"
Monsters University,danscanlon,"['animation', 'family']",7,"['monster', 'dormitory', 'games']"
Transformers: Revenge of the Fallen,michaelbay,"['sciencefiction', 'action', 'adventure']",6,"['egypt', 'sun', 'chaos']"
Transformers: Age of Extinction,michaelbay,"['sciencefiction', 'action', 'adventure']",5.8,"['sequel', 'alien', 'transformers']"
Oz: The Great and Powerful,samraimi,"['fantasy', 'adventure', 'family']",5.7,"['circus', 'witch', 'magic']"
The Amazing Spider-Man 2,marcwebb,"['action', 'adventure', 'fantasy']",6.5,"['obsession', 'marvelcomic', 'sequel']"
TRON: Legacy,josephkosinski,"['adventure', 'action', 'sciencefiction']",6.3,"['artificialintelligence', 'secretidentity', 'computerprogram']"
Cars 2,johnlasseter,"['animation', 'family', 'adventure']",5.8,"['carrace', 'sequel', 'comedy']"
Green Lantern,martincampbell,"['adventure', 'action', 'thriller']",5.1,"['dccomics', 'transformation', 'superhero']"
Toy Story 3,leeunkrich,"['animation', 'family', 'comedy']",7.6,"['hostage', 'college', 'toy']"
Terminator Salvation,mcg,"['action', 'sciencefiction', 'thriller']",5.9,"['savingtheworld', 'artificialintelligence', 'prophecy']"
Furious 7,jameswan,['action'],7.3,"['carrace', 'speed', 'revenge']"
World War Z,marcforster,"['action', 'drama', 'horror']",6.7,"['dystopia', 'apocalypse', 'zombie']"
X-Men: Days of Future Past,bryansinger,"['action', 'adventure', 'fantasy']",7.5,"['1970s', 'mutant', 'timetravel']"
Star Trek Into Darkness,j.j.abrams,"['action', 'adventure', 'sciencefiction']",7.4,"['spacecraft', 'friendship', 'sequel']"
Jack the Giant Slayer,bryansinger,"['action', 'family', 'fantasy']",5.5,"['basedonfairytale', 'giant']"
The Great Gatsby,bazluhrmann,"['drama', 'romance']",7.3,"['basedonnovel', 'infidelity', 'obsession']"
Prince of Persia: The Sands of Time,mikenewell,"['adventure', 'fantasy', 'action']",6.2,"['persia', 'sandstorm', 'brotheragainstbrother']"
Pacific Rim,guillermodeltoro,"['action', 'sciencefiction', 'adventure']",6.7,"['dystopia', 'giantrobot', 'giantmonster']"
Transformers: Dark of the Moon,michaelbay,"['action', 'sciencefiction', 'adventure']",6.1,"['moon', 'spacecraft', 'traitor']"
Indiana Jones and the Kingdom of the Crystal Skull,stevenspielberg,"['adventure', 'action']",5.7,"['savingtheworld', 'riddle', 'whip']"
The Good Dinosaur,petersohn,"['adventure', 'animation', 'family']",6.6,"['tyrannosaurusrex', 'friends', 'alternatehistory']"
Brave,brendachapman,"['animation', 'adventure', 'comedy']",6.7,"['scotland', 'rebel', 'bravery']"
Star Trek Beyond,justinlin,"['action', 'adventure', 'sciencefiction']",6.6,"['sequel', 'stranded', 'hatred']"
WALL·E,andrewstanton,"['animation', 'family']",7.8,['romanticcomedy']
Rush Hour 3,brettratner,"['action', 'comedy', 'crime']",6.1,['ambassador']
2012,rolandemmerich,"['action', 'adventure', 'sciencefiction']",5.6,"['civilization', 'naturaldisaster', 'endoftheworld']"
A Christmas Carol,robertzemeckis,"['animation', 'drama']",6.6,"['holiday', 'basedonnovel', 'victorianengland']"
Jupiter Ascending,lillywachowski,"['sciencefiction', 'fantasy', 'action']",5.2,"['jupiter', 'space', 'womandirector']"
The Legend of Tarzan,davidyates,"['action', 'adventure']",5.5,"['africa', 'feralchild', 'tarzan']"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",andrewadamson,"['adventure', 'family', 'fantasy']",6.7,"['savingtheworld', 'witch', 'basedonnovel']"
X-Men: Apocalypse,bryansinger,['sciencefiction'],6.4,"['mutant', 'supernaturalpowers', 'marvelcomic']"
The Dark Knight,christophernolan,"['drama', 'action', 'crime']",8.2,"['dccomics', 'crimefighter', 'secretidentity']"
Up,petedocter,"['animation', 'comedy', 'family']",7.7,"['agedifference', 'centralandsouthamerica', 'balloon']"
Monsters vs Aliens,conradvernon,"['animation', 'family', 'adventure']",6,"['alien', 'giantrobot', 'duringcreditsstinger']"
Iron Man,jonfavreau,"['action', 'sciencefiction', 'adventure']",7.4,"['middleeast', 'armsdealer', 'malibu']"
Hugo,martinscorsese,"['adventure', 'drama', 'family']",7,"['library', 'clock', 'filmdirector']"
Wild Wild West,barrysonnenfeld,"['action', 'adventure', 'comedy']",5.1,"['steampunk', 'basedontvseries', 'steamlocomotive']"
The Mummy: Tomb of the Dragon Emperor,robcohen,"['adventure', 'action', 'fantasy']",5.2,[]
Suicide Squad,davidayer,"['action', 'adventure', 'crime']",5.9,"['dccomics', 'shareduniverse', 'antihero']"
Evan Almighty,tomshadyac,"['fantasy', 'comedy', 'family']",5.3,"['fathersonrelationship', 'dailylife', 'marriedcouple']"
Edge of Tomorrow,dougliman,"['action', 'sciencefiction']",7.6,"['dejavu', 'timewarp', 'restart']"
Waterworld,kevinreynolds,"['adventure', 'action']",5.9,"['ocean', 'tattoo', 'mutant']"
G.I. Joe: The Rise of Cobra,stephensommers,"['adventure', 'action', 'thriller']",5.6,"['terrorist', 'secret', 'hostage']"
Inside Out,petedocter,"['drama', 'comedy', 'animation']",8,"['dream', 'cartoon', 'imaginaryfriend']"
